http://wiki.v08.med.va.gov/groups/ideascale,k8ps,17647,1
http://vaww.itfo.portal.va.gov/resources/hr/Reference%20Library/Forms/AllItems.aspx?RootFolder=%2fresources%2fhr%2fReference%20Library%2fSelf%2dAssessment%2dGuidance&FolderCTID=0x012000F61BE8F742C8B1438849C503D396C25D&View=%7bED174A61%2d7224%2d4156%2dABE7%2dDAD8790A7751%7d,dz2u,1562,1
http://vbacodmoint1.vba.va.gov/bl/21/WLM/default.asp,5c37,871,1
http://vaww.oed.portal.va.gov/administration/communications/_layouts/FormServer.aspx?XsnLocation=http://vaww.oed.portal.va.gov/administration/communications/FormServerTemplates/oed_daily_report.xsn&SaveLocation=http%3A%2F%2Fvaww%2Eoed%2Eportal%2Eva%2Egov%2Fadministration%2Fcommunications%2FDaily%5FReport%5FLibrary&Source=http%3A%2F%2Fvaww%2Eoed%2Eportal%2Eva%2Egov%2Fadministration%2Fcommunications%2FDaily%5FReport%5FLibrary%2FForms%2Fdaily%5Fview%2Easpx&DefaultItemOpen=1,2uoj,869,1
http://vaww.oed.portal.va.gov/realignment/Library/OED%20Organization%20Charts.pptx,fgk3,845,1
https://vaww.portal.va.gov/sites/pcmhihub/PCMHI/Lists/Calendar/Millionth%20Encounter%20Events.aspx,jqrn,829,1
http://vaww.oed.portal.va.gov/administration/communications/brown_bag/,brownbag,752,1
http://10.71.16.212/sonnymontgomery,sonnymontgomery,651,1
http://vaww.oed.portal.va.gov/realignment/Library/Oct_2010_OED_All_Staff_7.pptx,ub36,637,1
http://vaww.eie.va.gov/SysDesign/CS/Lists/Discussions/FlatGrouped25.aspx?RootFolder=%2fSysDesign%2fCS%2fLists%2fDiscussions%2fAttachmate%20Reflections&FolderCTID=0x01200200F8A0B1F89F2A5B4F9D8609EEF76D2C1E&TopicsView=http%3A%2F%2Fvaww%2Eeie%2Eva%2Egov%2FSysDesign%2FCS%2FLists%2FDiscussions%2FAllItems%2Easpx,ldod,525,1
